title,price,condition,year,trim,colour,transmission,drivetrain,fuel,kilometers,postal_code,date_posted,url
2018 Toyota RAV4 LE,31959.,Used,2018,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"61,686",K2G 1E3,2022-06-16,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-le/m4056865
 2019 Toyota RAV4 LE,29600.,Used,2019,LE,White,Automatic,All-wheel drive (AWD),Gasoline,"119,518",N2L 5Z6,2022-05-06,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2019-toyota-rav4-le/m3781712
2018 Toyota RAV4 AWD Hybrid Limited - Navigation,37800.,Used,2018,AWD Hybrid Limited,Grey,Automatic,All-wheel drive (AWD),Hybrid-Electric,"87,938",K1C 7J2,2022-07-15,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-hybrid-limited-navigation/m4286283
2017 Toyota RAV4 AWD 4dr SE,31988.,Used,2017,AWD 4dr SE,Blue,Automatic,All-wheel drive (AWD),Other,"61,702",N6P 1L1,2022-06-24,https://www.kijiji.ca/v-cars-trucks/london/2017-toyota-rav4-awd-4dr-se/m4134979
2019 Toyota RAV4 XLE,34995.,Used,2019,XLE,Black,Automatic,Other,Gasoline,"164,773",L7A 1A9,2022-06-05,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-xle/m3984302
2018 Toyota RAV 4 LE,30999.,Used,2018,LE,Black,Automatic,,Gasoline,"76,824","P3N, CA",2022-07-27,https://www.kijiji.ca/v-cars-trucks/sudbury/2018-toyota-rav-4-le/m4387513
2015 Toyota Rav 4 LE For Sale,18000.,Used,2015,LE,Black,Automatic,Front-wheel drive (FWD),Gasoline,"209,578","ter, ON",2022-07-26,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-toyota-rav-4-le-for-sale/1626695412
2006 Toyota RAV4 Limited,5499.,Used,2006,Limited,Red,Automatic,All-wheel drive (AWD),Gasoline,"217,600",L0K 1A0,2022-06-26,https://www.kijiji.ca/v-cars-trucks/kawartha-lakes/2006-toyota-rav4-limited/m4157180
 2018 Toyota RAV4 Hybrid Limited,36895.,Used,2018,Hybrid Limited,White,Automatic,All-wheel drive (AWD),Hybrid-Electric,"125,067",N0A 1E0,2022-06-02,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-hybrid-limited/m3964972
 2018 Toyota RAV4 LIMITED NAVI LEATHER SUNROOF CAMERA P/TAILGATE 73K,27990.,Used,2018,LIMITED NAVI LEATHER SUNROOF CAMERA P/TAILGATE 73K,Grey,Automatic,All-wheel drive (AWD),Gasoline,"73,726",M3J 2G4,2022-04-27,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-limited-navi-leather-sunroof-camera-p-tailgate-73k/m3716469
"2018 Toyota RAV4 SE W/ Nav, Backup Camera, Toyota Safety Sense",31390.,Used,2018,"SE W/ Nav, Backup Camera, Toyota Safety Sense",Black,,All-wheel drive (AWD),Other,"78,327", M8Z5S8,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-se-w-nav-backup-camera-toyota-safety-sense/m4383252
 2017 Toyota RAV4 LE AUT0 A/C H/SEATS L/DEPARTURE BACKUP CAMERA,20990.,Used,2017,LE AUT0 A/C H/SEATS L/DEPARTURE BACKUP CAMERA,Black,Automatic,Front-wheel drive (FWD),Gasoline,"133,398",M3J 2G4,2022-04-27,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2017-toyota-rav4-le-aut0-a-c-h-seats-l-departure-backup-camera/m3716467
2018 Toyota RAV4 SE,36559.,Used,2018,SE,Black,Automatic,All-wheel drive (AWD),Gasoline,"42,088",K2G 1E3,2022-06-16,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-se/m4056879
2020 Toyota RAV4 Hybrid Limited,57059.,Used,2020,Limited,White,Automatic,All-wheel drive (AWD),Hybrid-Electric,"57,053",K2G 1E3,2022-07-03,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-rav4-hybrid-limited/m4196539
2021 Toyota RAV4 Hybrid XLE,54559.,Used,2021,XLE,White,Automatic,All-wheel drive (AWD),Hybrid-Electric,"85,807",K2G 1E3,2022-07-01,https://www.kijiji.ca/v-cars-trucks/ottawa/2021-toyota-rav4-hybrid-xle/m4187442
2018 Toyota RAV4 XLE,31959.,Used,2018,XLE,Blue,Automatic,Front-wheel drive (FWD),Gasoline,"51,637",K2G 1E3,2022-06-16,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-xle/m4056875
2017 Toyota RAV4 SE,33959.,Used,2017,SE,Black,Automatic,All-wheel drive (AWD),Gasoline,"43,591",K2G 1E3,2022-07-03,https://www.kijiji.ca/v-cars-trucks/ottawa/2017-toyota-rav4-se/m4196540
2018 Toyota RAV4 LE/One Owner/Backup Camera/Bluetooth/Heated Seats/Two Sets of Keys/Fully Loaded,,Used,2018,LE/One Owner/Backup Camera/Bluetooth/Heated Seats/Eco Drive/Two Sets of Keys/Fully Loaded,White,Automatic,Other,Gasoline,"88,870",M3J 3H5,2022-06-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-le-one-owner-backup-camera-bluetooth-heated-seats-two-sets-of-keys-fully-loaded/m4157020
 2020 Toyota RAV4 XLE,41995.,Used,2020,XLE,White,Automatic,All-wheel drive (AWD),Gasoline,"72,064",K1B 5P5,2022-04-01,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-rav4-xle/m3547626
 2021 Toyota RAV4 LE,38995.,Used,2021,LE,Grey,Automatic,All-wheel drive (AWD),Gasoline,"89,568",K1B 5P5,2022-04-01,https://www.kijiji.ca/v-cars-trucks/ottawa/2021-toyota-rav4-le/m3548162
