,title,price,year,colour,drivetrain,fuel,kilometers,postal_code,date_posted,url
0,2018 Toyota RAV4 LE,31959.0,2018.0,Red,All-wheel drive (AWD),Gasoline,61686.0,K2G1E3,2022-06-16,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-le/m4056865
1, 2019 Toyota RAV4 LE,29600.0,2019.0,White,All-wheel drive (AWD),Gasoline,119518.0,N2L5Z6,2022-05-06,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2019-toyota-rav4-le/m3781712
2,2018 Toyota RAV4 AWD Hybrid Limited - Navigation,37800.0,2018.0,Grey,All-wheel drive (AWD),Hybrid-Electric,87938.0,K1C7J2,2022-07-15,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-hybrid-limited-navigation/m4286283
3,2017 Toyota RAV4 AWD 4dr SE,31988.0,2017.0,Blue,All-wheel drive (AWD),Other,61702.0,N6P1L1,2022-06-24,https://www.kijiji.ca/v-cars-trucks/london/2017-toyota-rav4-awd-4dr-se/m4134979
4,2019 Toyota RAV4 XLE,34995.0,2019.0,Black,Other,Gasoline,164773.0,L7A1A9,2022-06-05,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-xle/m3984302
5,2018 Toyota RAV 4 LE,30999.0,2018.0,Black,All-wheel drive (AWD),Gasoline,76824.0,"P3N,CA",2022-07-27,https://www.kijiji.ca/v-cars-trucks/sudbury/2018-toyota-rav-4-le/m4387513
6,2015 Toyota Rav 4 LE For Sale,18000.0,2015.0,Black,Front-wheel drive (FWD),Gasoline,209578.0,"ter,ON",2022-07-26,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-toyota-rav-4-le-for-sale/1626695412
7,2006 Toyota RAV4 Limited,5499.0,2006.0,Red,All-wheel drive (AWD),Gasoline,217600.0,L0K1A0,2022-06-26,https://www.kijiji.ca/v-cars-trucks/kawartha-lakes/2006-toyota-rav4-limited/m4157180
8, 2018 Toyota RAV4 Hybrid Limited,36895.0,2018.0,White,All-wheel drive (AWD),Hybrid-Electric,125067.0,N0A1E0,2022-06-02,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-hybrid-limited/m3964972
9, 2018 Toyota RAV4 LIMITED NAVI LEATHER SUNROOF CAMERA P/TAILGATE 73K,27990.0,2018.0,Grey,All-wheel drive (AWD),Gasoline,73726.0,M3J2G4,2022-04-27,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-limited-navi-leather-sunroof-camera-p-tailgate-73k/m3716469
10,"2018 Toyota RAV4 SE W/ Nav, Backup Camera, Toyota Safety Sense",31390.0,2018.0,Black,All-wheel drive (AWD),Other,78327.0,M8Z5S8,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-se-w-nav-backup-camera-toyota-safety-sense/m4383252
